n1,n2,n3,n4,n5,n6,draw_date
7,3,10,3,5,6,2010-07-03
7,7,10,6,17,21,2010-07-07
7,10,10,2,7,8,2010-07-10
7,14,10,11,17,20,2010-07-14
7,17,10,10,11,21,2010-07-17
7,21,10,5,12,17,2010-07-21
7,24,10,6,7,8,2010-07-24
7,28,10,8,12,18,2010-07-28
7,31,10,2,6,7,2010-07-31
8,4,10,2,19,23,2010-08-04
8,7,10,3,20,29,2010-08-07
8,11,10,13,23,24,2010-08-11
8,14,10,1,9,11,2010-08-14
8,18,10,7,24,28,2010-08-18
8,21,10,15,16,18,2010-08-21
8,25,10,2,3,6,2010-08-25
8,28,10,12,16,23,2010-08-28
9,1,10,5,7,8,2010-09-01
9,4,10,1,18,29,2010-09-04
9,8,10,10,18,20,2010-09-08
9,11,10,1,3,20,2010-09-11
9,15,10,2,6,13,2010-09-15
9,18,10,2,8,15,2010-09-18
9,22,10,3,6,9,2010-09-22
9,25,10,14,33,34,2010-09-25
9,29,10,7,22,25,2010-09-29
10,2,10,2,14,20,2010-10-02
10,6,10,1,4,5,2010-10-06
10,9,10,5,7,22,2010-10-09
10,13,10,11,13,16,2010-10-13
10,16,10,4,11,23,2010-10-16
10,20,10,3,9,19,2010-10-20
10,23,10,1,12,16,2010-10-23
10,27,10,2,15,21,2010-10-27
10,30,10,1,13,14,2010-10-30
11,3,10,3,8,11,2010-11-03
11,6,10,5,13,24,2010-11-06
11,10,10,10,16,31,2010-11-10
11,13,10,1,8,12,2010-11-13
11,17,10,3,6,7,2010-11-17
11,20,10,12,15,19,2010-11-20
11,24,10,3,4,10,2010-11-24
11,27,10,1,6,8,2010-11-27
12,1,10,1,4,13,2010-12-01
12,4,10,5,14,31,2010-12-04
12,8,10,7,15,18,2010-12-08
12,11,10,3,14,16,2010-12-11
12,15,10,1,8,17,2010-12-15
12,18,10,5,16,17,2010-12-18
12,22,10,12,18,19,2010-12-22
12,29,10,2,3,7,2010-12-29
1,1,11,5,15,18,2011-01-01
1,5,11,6,7,8,2011-01-05
1,8,11,6,9,13,2011-01-08
1,12,11,2,12,16,2011-01-12
1,15,11,2,15,17,2011-01-15
1,19,11,2,3,4,2011-01-19
1,22,11,7,21,26,2011-01-22
1,26,11,5,18,27,2011-01-26
1,29,11,2,9,15,2011-01-29
2,2,11,1,9,13,2011-02-02
2,5,11,1,5,12,2011-02-05
2,9,11,23,25,28,2011-02-09
2,12,11,2,7,12,2011-02-12
2,16,11,6,7,29,2011-02-16
2,19,11,5,9,19,2011-02-19
2,23,11,5,8,15,2011-02-23
2,26,11,3,7,12,2011-02-26
3,2,11,5,6,20,2011-03-02
3,5,11,11,20,28,2011-03-05
3,9,11,4,18,21,2011-03-09
3,12,11,5,6,10,2011-03-12
3,16,11,4,6,17,2011-03-16
3,19,11,5,18,22,2011-03-19
3,23,11,6,18,27,2011-03-23
3,26,11,11,16,22,2011-03-26
3,30,11,1,15,24,2011-03-30
4,2,11,1,9,11,2011-04-02
4,6,11,10,17,18,2011-04-06
4,9,11,3,9,19,2011-04-09
4,13,11,9,16,20,2011-04-13
4,16,11,3,14,17,2011-04-16
4,20,11,3,15,23,2011-04-20
4,23,11,5,18,20,2011-04-23
4,27,11,4,12,13,2011-04-27
4,30,11,4,26,29,2011-04-30
5,4,11,2,24,27,2011-05-04
5,7,11,7,12,19,2011-05-07
5,11,11,2,4,5,2011-05-11
5,14,11,2,13,34,2011-05-14
5,18,11,3,8,22,2011-05-18
5,21,11,12,19,25,2011-05-21
5,25,11,1,10,13,2011-05-25
5,28,11,12,18,22,2011-05-28
6,1,11,4,7,12,2011-06-01
6,4,11,4,10,13,2011-06-04
6,8,11,21,24,25,2011-06-08
6,11,11,2,9,10,2011-06-11
6,15,11,12,18,21,2011-06-15
6,18,11,1,3,4,2011-06-18
6,22,11,1,4,6,2011-06-22
6,25,11,8,11,13,2011-06-25
6,29,11,14,15,16,2011-06-29
7,2,11,1,3,7,2011-07-02
7,6,11,5,15,18,2011-07-06
7,9,11,5,7,17,2011-07-09
7,13,11,19,22,31,2011-07-13
7,16,11,1,9,18,2011-07-16
7,20,11,1,5,18,2011-07-20
7,23,11,1,5,16,2011-07-23
7,27,11,9,16,20,2011-07-27
7,30,11,10,11,24,2011-07-30
8,3,11,4,6,9,2011-08-03
8,6,11,6,14,25,2011-08-06
8,10,11,4,13,20,2011-08-10
8,13,11,4,9,13,2011-08-13
8,17,11,2,8,12,2011-08-17
8,20,11,8,12,19,2011-08-20
8,24,11,2,8,10,2011-08-24
8,27,11,12,14,16,2011-08-27
8,31,11,4,14,30,2011-08-31
9,3,11,3,6,18,2011-09-03
9,7,11,1,12,14,2011-09-07
9,10,11,5,25,28,2011-09-10
9,14,11,1,7,15,2011-09-14
9,17,11,8,9,16,2011-09-17
9,21,11,6,19,20,2011-09-21
9,24,11,5,6,12,2011-09-24
9,28,11,1,14,24,2011-09-28
10,1,11,5,7,13,2011-10-01
10,5,11,4,8,29,2011-10-05
10,8,11,5,6,21,2011-10-08
10,12,11,4,7,8,2011-10-12
10,15,11,1,3,10,2011-10-15
10,19,11,3,4,6,2011-10-19
10,22,11,8,21,25,2011-10-22
10,26,11,3,20,24,2011-10-26
10,29,11,4,9,17,2011-10-29
