n1,n2,n3,n4,n5,s1,draw_date,lucky_ball,white1,white2,white3,white4,white5,special
,,,,,,2016-07-18,,7,18,16,3,4,10
,,,,,,2016-07-21,,7,21,16,3,27,36
,,,,,,2016-07-25,,7,25,16,15,20,32
,,,,,,2016-07-28,,7,28,16,12,29,33
,,,,,,2016-08-01,,8,1,16,7,17,24
,,,,,,2016-08-04,,8,4,16,12,20,37
,,,,,,2016-08-08,,8,8,16,20,29,31
,,,,,,2016-08-11,,8,11,16,14,31,32
,,,,,,2016-08-15,,8,15,16,1,4,14
,,,,,,2016-08-18,,8,18,16,1,2,14
,,,,,,2016-08-22,,8,22,16,4,17,18
,,,,,,2016-08-25,,8,25,16,8,30,35
,,,,,,2016-08-29,,8,29,16,13,21,27
,,,,,,2016-09-01,,9,1,16,2,17,24
,,,,,,2016-09-05,,9,5,16,9,14,21
,,,,,,2016-09-08,,9,8,16,3,19,33
,,,,,,2016-09-12,,9,12,16,25,28,30
,,,,,,2016-09-15,,9,15,16,1,4,16
,,,,,,2016-09-19,,9,19,16,1,4,19
,,,,,,2016-09-22,,9,22,16,15,17,27
,,,,,,2016-09-26,,9,26,16,5,8,14
,,,,,,2016-09-29,,9,29,16,6,14,25
,,,,,,2016-10-03,,10,3,16,2,16,20
,,,,,,2016-10-06,,10,6,16,21,24,28
,,,,,,2016-10-10,,10,10,16,14,23,26
,,,,,,2016-10-13,,10,13,16,2,3,9
,,,,,,2016-10-17,,10,17,16,6,23,31
,,,,,,2016-10-20,,10,20,16,4,5,9
,,,,,,2016-10-24,,10,24,16,6,23,33
,,,,,,2016-10-27,,10,27,16,15,26,34
,,,,,,2016-10-31,,10,31,16,3,4,12
,,,,,,2016-11-03,,11,3,16,6,15,24
,,,,,,2016-11-07,,11,7,16,3,9,33
,,,,,,2016-11-10,,11,10,16,8,10,12
,,,,,,2016-11-14,,11,14,16,21,27,37
,,,,,,2016-11-17,,11,17,16,9,12,19
,,,,,,2016-11-21,,11,21,16,3,7,12
,,,,,,2016-11-24,,11,24,16,5,10,15
,,,,,,2016-11-28,,11,28,16,2,5,6
,,,,,,2016-12-01,,12,1,16,21,23,39
,,,,,,2016-12-05,,12,5,16,9,10,17
,,,,,,2016-12-08,,12,8,16,5,7,8
,,,,,,2016-12-12,,12,12,16,6,18,25
,,,,,,2016-12-15,,12,15,16,4,9,27
,,,,,,2016-12-19,,12,19,16,1,8,35
,,,,,,2016-12-22,,12,22,16,10,15,21
,,,,,,2016-12-26,,12,26,16,1,4,27
,,,,,,2016-12-29,,12,29,16,6,10,15
,,,,,,2017-01-02,,1,2,17,13,17,28
,,,,,,2017-01-05,,1,5,17,10,11,26
,,,,,,2017-01-09,,1,9,17,2,29,34
,,,,,,2017-01-12,,1,12,17,6,7,10
,,,,,,2017-01-16,,1,16,17,5,6,24
,,,,,,2017-01-19,,1,19,17,4,7,15
,,,,,,2017-01-23,,1,23,17,3,20,29
,,,,,,2017-01-26,,1,26,17,3,11,13
,,,,,,2017-01-30,,1,30,17,6,8,28
,,,,,,2017-02-02,,2,2,17,31,32,36
,,,,,,2017-02-06,,2,6,17,3,5,6
,,,,,,2017-02-09,,2,9,17,5,9,17
,,,,,,2017-02-13,,2,13,17,4,9,38
,,,,,,2017-02-16,,2,16,17,6,18,40
,,,,,,2017-02-20,,2,20,17,2,14,18
,,,,,,2017-02-23,,2,23,17,12,14,17
,,,,,,2017-02-27,,2,27,17,5,8,27
,,,,,,2017-03-02,,3,2,17,23,24,25
,,,,,,2017-03-06,,3,6,17,4,11,19
,,,,,,2017-03-09,,3,9,17,1,6,12
,,,,,,2017-03-13,,3,13,17,2,9,24
,,,,,,2017-03-16,,3,16,17,1,9,25
,,,,,,2017-03-20,,3,20,17,6,8,18
,,,,,,2017-03-23,,3,23,17,1,5,6
,,,,,,2017-03-27,,3,27,17,1,17,19
,,,,,,2017-03-30,,3,30,17,1,10,21
,,,,,,2017-04-03,,4,3,17,10,17,32
,,,,,,2017-04-06,,4,6,17,6,18,37
,,,,,,2017-04-10,,4,10,17,13,34,36
,,,,,,2017-04-13,,4,13,17,2,3,21
,,,,,,2017-04-17,,4,17,17,11,17,25
,,,,,,2017-04-20,,4,20,17,4,24,29
,,,,,,2017-04-24,,4,24,17,2,12,32
,,,,,,2017-04-27,,4,27,17,3,19,39
,,,,,,2017-05-01,,5,1,17,3,13,23
,,,,,,2017-05-04,,5,4,17,5,22,29
,,,,,,2017-05-08,,5,8,17,4,7,23
,,,,,,2017-05-11,,5,11,17,5,14,17
,,,,,,2017-05-15,,5,15,17,15,17,30
,,,,,,2017-05-18,,5,18,17,5,10,34
,,,,,,2017-05-22,,5,22,17,12,16,31
,,,,,,2017-05-25,,5,25,17,3,6,14
,,,,,,2017-05-29,,5,29,17,20,25,29
,,,,,,2017-06-01,,6,1,17,7,28,34
,,,,,,2017-06-05,,6,5,17,13,15,17
,,,,,,2017-06-08,,6,8,17,12,13,26
,,,,,,2017-06-12,,6,12,17,7,13,29
,,,,,,2017-06-15,,6,15,17,9,19,36
,,,,,,2017-06-19,,6,19,17,8,23,24
,,,,,,2017-06-22,,6,22,17,1,7,12
,,,,,,2017-06-26,,6,26,17,7,18,21
,,,,,,2017-06-29,,6,29,17,4,12,27
,,,,,,2017-07-03,,7,3,17,15,19,43
,,,,,,2017-07-06,,7,6,17,3,4,10
,,,,,,2017-07-10,,7,10,17,9,23,32
,,,,,,2017-07-13,,7,13,17,6,15,18
,,,,,,2017-07-17,,7,17,17,2,6,8
,,,,,,2017-07-20,,7,20,17,2,10,13
,,,,,,2017-07-24,,7,24,17,16,26,27
,,,,,,2017-07-27,,7,27,17,16,17,31
