date,n1,n2,n3,n4,n5
07/01/2010,7,1,10,5,2
07/02/2010,7,2,10,5,5
07/03/2010,7,3,10,5,4
07/04/2010,7,4,10,5,8
07/05/2010,7,5,10,5,5
07/06/2010,7,6,10,5,3
07/07/2010,7,7,10,5,5
07/08/2010,7,8,10,5,4
07/09/2010,7,9,10,5,15
07/10/2010,7,10,10,5,2
07/11/2010,7,11,10,5,2
07/12/2010,7,12,10,5,1
07/13/2010,7,13,10,5,3
07/14/2010,7,14,10,5,5
07/15/2010,7,15,10,5,1
07/16/2010,7,16,10,5,1
07/17/2010,7,17,10,5,1
07/18/2010,7,18,10,5,6
07/19/2010,7,19,10,5,12
07/20/2010,7,20,10,5,9
07/21/2010,7,21,10,5,1
07/22/2010,7,22,10,5,5
07/23/2010,7,23,10,5,5
07/24/2010,7,24,10,5,4
07/25/2010,7,25,10,5,4
07/26/2010,7,26,10,5,2
07/27/2010,7,27,10,5,7
07/28/2010,7,28,10,5,21
07/29/2010,7,29,10,5,2
07/30/2010,7,30,10,5,5
07/31/2010,7,31,10,5,9
08/01/2010,8,1,10,5,2
08/02/2010,8,2,10,5,6
08/03/2010,8,3,10,5,3
08/04/2010,8,4,10,5,4
08/05/2010,8,5,10,5,5
08/06/2010,8,6,10,5,9
08/07/2010,8,7,10,5,7
08/08/2010,8,8,10,5,5
08/09/2010,8,9,10,5,2
08/10/2010,8,10,10,5,4
08/11/2010,8,11,10,5,7
08/12/2010,8,12,10,5,4
08/13/2010,8,13,10,5,1
08/14/2010,8,14,10,5,1
08/15/2010,8,15,10,5,23
08/16/2010,8,16,10,5,2
08/17/2010,8,17,10,5,3
08/18/2010,8,18,10,5,10
08/19/2010,8,19,10,5,9
08/20/2010,8,20,10,5,1
08/21/2010,8,21,10,5,1
08/22/2010,8,22,10,5,3
08/23/2010,8,23,10,5,10
08/24/2010,8,24,10,5,3
08/25/2010,8,25,10,5,6
08/26/2010,8,26,10,5,2
08/27/2010,8,27,10,5,2
08/28/2010,8,28,10,5,6
08/29/2010,8,29,10,5,3
08/30/2010,8,30,10,5,2
08/31/2010,8,31,10,5,2
09/01/2010,9,1,10,5,4
09/02/2010,9,2,10,5,6
09/03/2010,9,3,10,5,6
09/04/2010,9,4,10,5,6
09/05/2010,9,5,10,5,10
09/06/2010,9,6,10,5,3
09/07/2010,9,7,10,5,6
09/08/2010,9,8,10,5,3
09/09/2010,9,9,10,5,2
09/10/2010,9,10,10,5,2
09/11/2010,9,11,10,5,6
09/12/2010,9,12,10,5,1
09/13/2010,9,13,10,5,13
09/14/2010,9,14,10,5,2
09/15/2010,9,15,10,5,13
09/16/2010,9,16,10,5,3
09/17/2010,9,17,10,5,2
09/18/2010,9,18,10,5,8
09/19/2010,9,19,10,5,1
09/20/2010,9,20,10,5,8
09/21/2010,9,21,10,5,9
09/22/2010,9,22,10,5,4
09/23/2010,9,23,10,5,4
09/24/2010,9,24,10,5,13
09/25/2010,9,25,10,5,4
09/26/2010,9,26,10,5,5
09/27/2010,9,27,10,5,14
09/28/2010,9,28,10,5,4
09/29/2010,9,29,10,5,2
09/30/2010,9,30,10,5,2
10/01/2010,10,1,10,5,3
10/02/2010,10,2,10,5,14
10/03/2010,10,3,10,5,12
10/04/2010,10,4,10,5,19
10/05/2010,10,5,10,5,1
10/06/2010,10,6,10,5,9
10/07/2010,10,7,10,5,3
10/08/2010,10,8,10,5,3
10/09/2010,10,9,10,5,5
10/10/2010,10,10,10,5,4
10/11/2010,10,11,10,5,4
10/12/2010,10,12,10,5,4
10/13/2010,10,13,10,5,3
10/14/2010,10,14,10,5,2
10/15/2010,10,15,10,5,18
10/16/2010,10,16,10,5,4
10/17/2010,10,17,10,5,18
10/18/2010,10,18,10,5,2
10/19/2010,10,19,10,5,3
10/20/2010,10,20,10,5,14
10/21/2010,10,21,10,5,1
10/22/2010,10,22,10,5,8
10/23/2010,10,23,10,5,3
