date,n1,n2,n3,n4,n5,n6
07/03/2010,7,3,10,3,5,6
07/07/2010,7,7,10,6,17,21
07/10/2010,7,10,10,2,7,8
07/14/2010,7,14,10,11,17,20
07/17/2010,7,17,10,10,11,21
07/21/2010,7,21,10,5,12,17
07/24/2010,7,24,10,6,7,8
07/28/2010,7,28,10,8,12,18
07/31/2010,7,31,10,2,6,7
08/04/2010,8,4,10,2,19,23
08/07/2010,8,7,10,3,20,29
08/11/2010,8,11,10,13,23,24
08/14/2010,8,14,10,1,9,11
08/18/2010,8,18,10,7,24,28
08/21/2010,8,21,10,15,16,18
08/25/2010,8,25,10,2,3,6
08/28/2010,8,28,10,12,16,23
09/01/2010,9,1,10,5,7,8
09/04/2010,9,4,10,1,18,29
09/08/2010,9,8,10,10,18,20
09/11/2010,9,11,10,1,3,20
09/15/2010,9,15,10,2,6,13
09/18/2010,9,18,10,2,8,15
09/22/2010,9,22,10,3,6,9
09/25/2010,9,25,10,14,33,34
09/29/2010,9,29,10,7,22,25
10/02/2010,10,2,10,2,14,20
10/06/2010,10,6,10,1,4,5
10/09/2010,10,9,10,5,7,22
10/13/2010,10,13,10,11,13,16
10/16/2010,10,16,10,4,11,23
10/20/2010,10,20,10,3,9,19
10/23/2010,10,23,10,1,12,16
10/27/2010,10,27,10,2,15,21
10/30/2010,10,30,10,1,13,14
11/03/2010,11,3,10,3,8,11
11/06/2010,11,6,10,5,13,24
11/10/2010,11,10,10,10,16,31
11/13/2010,11,13,10,1,8,12
11/17/2010,11,17,10,3,6,7
11/20/2010,11,20,10,12,15,19
11/24/2010,11,24,10,3,4,10
11/27/2010,11,27,10,1,6,8
12/01/2010,12,1,10,1,4,13
12/04/2010,12,4,10,5,14,31
12/08/2010,12,8,10,7,15,18
12/11/2010,12,11,10,3,14,16
12/15/2010,12,15,10,1,8,17
12/18/2010,12,18,10,5,16,17
12/22/2010,12,22,10,12,18,19
12/29/2010,12,29,10,2,3,7
01/01/2011,1,1,11,5,15,18
01/05/2011,1,5,11,6,7,8
01/08/2011,1,8,11,6,9,13
01/12/2011,1,12,11,2,12,16
01/15/2011,1,15,11,2,15,17
01/19/2011,1,19,11,2,3,4
01/22/2011,1,22,11,7,21,26
01/26/2011,1,26,11,5,18,27
01/29/2011,1,29,11,2,9,15
02/02/2011,2,2,11,1,9,13
02/05/2011,2,5,11,1,5,12
02/09/2011,2,9,11,23,25,28
02/12/2011,2,12,11,2,7,12
02/16/2011,2,16,11,6,7,29
02/19/2011,2,19,11,5,9,19
02/23/2011,2,23,11,5,8,15
02/26/2011,2,26,11,3,7,12
03/02/2011,3,2,11,5,6,20
03/05/2011,3,5,11,11,20,28
03/09/2011,3,9,11,4,18,21
03/12/2011,3,12,11,5,6,10
03/16/2011,3,16,11,4,6,17
03/19/2011,3,19,11,5,18,22
03/23/2011,3,23,11,6,18,27
03/26/2011,3,26,11,11,16,22
03/30/2011,3,30,11,1,15,24
04/02/2011,4,2,11,1,9,11
04/06/2011,4,6,11,10,17,18
04/09/2011,4,9,11,3,9,19
04/13/2011,4,13,11,9,16,20
04/16/2011,4,16,11,3,14,17
04/20/2011,4,20,11,3,15,23
04/23/2011,4,23,11,5,18,20
04/27/2011,4,27,11,4,12,13
04/30/2011,4,30,11,4,26,29
05/04/2011,5,4,11,2,24,27
05/07/2011,5,7,11,7,12,19
05/11/2011,5,11,11,2,4,5
05/14/2011,5,14,11,2,13,34
05/18/2011,5,18,11,3,8,22
05/21/2011,5,21,11,12,19,25
05/25/2011,5,25,11,1,10,13
05/28/2011,5,28,11,12,18,22
06/01/2011,6,1,11,4,7,12
06/04/2011,6,4,11,4,10,13
06/08/2011,6,8,11,21,24,25
06/11/2011,6,11,11,2,9,10
06/15/2011,6,15,11,12,18,21
06/18/2011,6,18,11,1,3,4
06/22/2011,6,22,11,1,4,6
06/25/2011,6,25,11,8,11,13
06/29/2011,6,29,11,14,15,16
07/02/2011,7,2,11,1,3,7
07/06/2011,7,6,11,5,15,18
07/09/2011,7,9,11,5,7,17
07/13/2011,7,13,11,19,22,31
07/16/2011,7,16,11,1,9,18
07/20/2011,7,20,11,1,5,18
07/23/2011,7,23,11,1,5,16
07/27/2011,7,27,11,9,16,20
07/30/2011,7,30,11,10,11,24
08/03/2011,8,3,11,4,6,9
08/06/2011,8,6,11,6,14,25
08/10/2011,8,10,11,4,13,20
08/13/2011,8,13,11,4,9,13
08/17/2011,8,17,11,2,8,12
08/20/2011,8,20,11,8,12,19
08/24/2011,8,24,11,2,8,10
08/27/2011,8,27,11,12,14,16
08/31/2011,8,31,11,4,14,30
09/03/2011,9,3,11,3,6,18
09/07/2011,9,7,11,1,12,14
09/10/2011,9,10,11,5,25,28
09/14/2011,9,14,11,1,7,15
09/17/2011,9,17,11,8,9,16
09/21/2011,9,21,11,6,19,20
09/24/2011,9,24,11,5,6,12
09/28/2011,9,28,11,1,14,24
10/01/2011,10,1,11,5,7,13
10/05/2011,10,5,11,4,8,29
10/08/2011,10,8,11,5,6,21
10/12/2011,10,12,11,4,7,8
10/15/2011,10,15,11,1,3,10
10/19/2011,10,19,11,3,4,6
10/22/2011,10,22,11,8,21,25
10/26/2011,10,26,11,3,20,24
10/29/2011,10,29,11,4,9,17
11/02/2011,11,2,11,10,11,16
11/05/2011,11,5,11,2,3,12
11/09/2011,11,9,11,2,9,16
11/12/2011,11,12,11,2,14,19
11/16/2011,11,16,11,5,14,16
11/19/2011,11,19,11,2,10,12
11/23/2011,11,23,11,9,10,19
11/26/2011,11,26,11,20,21,25
11/30/2011,11,30,11,3,13,15
12/03/2011,12,3,11,1,9,20
12/07/2011,12,7,11,18,25,26
12/10/2011,12,10,11,3,13,26
12/14/2011,12,14,11,13,16,17
12/17/2011,12,17,11,15,17,22
12/21/2011,12,21,11,1,3,17
12/24/2011,12,24,11,1,22,23
12/28/2011,12,28,11,1,11,13
12/31/2011,12,31,11,4,22,25
01/04/2012,1,4,12,7,13,16
01/07/2012,1,7,12,12,16,22
01/11/2012,1,11,12,8,12,21
01/14/2012,1,14,12,11,20,22
01/18/2012,1,18,12,1,11,12
01/21/2012,1,21,12,5,21,30
01/25/2012,1,25,12,3,11,12
01/28/2012,1,28,12,15,17,20
02/01/2012,2,1,12,14,15,16
02/04/2012,2,4,12,13,21,27
02/08/2012,2,8,12,7,16,22
02/11/2012,2,11,12,1,7,18
02/15/2012,2,15,12,16,23,28
02/18/2012,2,18,12,14,15,31
02/22/2012,2,22,12,5,10,11
02/25/2012,2,25,12,6,13,18
02/29/2012,2,29,12,11,19,30
03/03/2012,3,3,12,4,13,15
03/07/2012,3,7,12,5,7,28
03/10/2012,3,10,12,11,18,20
03/14/2012,3,14,12,9,10,19
03/17/2012,3,17,12,4,9,11
03/21/2012,3,21,12,3,6,7
03/24/2012,3,24,12,11,14,17
03/28/2012,3,28,12,2,4,5
03/31/2012,3,31,12,2,13,20
04/04/2012,4,4,12,4,5,6
04/07/2012,4,7,12,4,15,18
04/11/2012,4,11,12,4,7,13
04/14/2012,4,14,12,1,6,13
04/18/2012,4,18,12,4,7,8
04/21/2012,4,21,12,4,13,19
04/25/2012,4,25,12,9,10,11
04/28/2012,4,28,12,5,19,32
05/02/2012,5,2,12,13,17,19
05/05/2012,5,5,12,4,10,12
05/09/2012,5,9,12,2,5,6
05/12/2012,5,12,12,1,16,20
05/16/2012,5,16,12,4,14,15
05/19/2012,5,19,12,1,4,8
05/23/2012,5,23,12,7,17,18
05/26/2012,5,26,12,5,6,15
05/30/2012,5,30,12,4,8,14
06/02/2012,6,2,12,4,11,14
06/06/2012,6,6,12,8,11,15
06/09/2012,6,9,12,11,18,25
06/13/2012,6,13,12,5,8,11
06/16/2012,6,16,12,16,17,22
06/20/2012,6,20,12,1,16,20
06/23/2012,6,23,12,5,11,20
06/27/2012,6,27,12,16,28,31
06/30/2012,6,30,12,1,3,14
