date,n1,n2,n3,n4,n5,s1
07/18/2016,7,18,16,3,4,10
07/21/2016,7,21,16,3,27,36
07/25/2016,7,25,16,15,20,32
07/28/2016,7,28,16,12,29,33
08/01/2016,8,1,16,7,17,24
08/04/2016,8,4,16,12,20,37
08/08/2016,8,8,16,20,29,31
08/11/2016,8,11,16,14,31,32
08/15/2016,8,15,16,1,4,14
08/18/2016,8,18,16,1,2,14
08/22/2016,8,22,16,4,17,18
08/25/2016,8,25,16,8,30,35
08/29/2016,8,29,16,13,21,27
09/01/2016,9,1,16,2,17,24
09/05/2016,9,5,16,9,14,21
09/08/2016,9,8,16,3,19,33
09/12/2016,9,12,16,25,28,30
09/15/2016,9,15,16,1,4,16
09/19/2016,9,19,16,1,4,19
09/22/2016,9,22,16,15,17,27
09/26/2016,9,26,16,5,8,14
09/29/2016,9,29,16,6,14,25
10/03/2016,10,3,16,2,16,20
10/06/2016,10,6,16,21,24,28
10/10/2016,10,10,16,14,23,26
10/13/2016,10,13,16,2,3,9
10/17/2016,10,17,16,6,23,31
10/20/2016,10,20,16,4,5,9
10/24/2016,10,24,16,6,23,33
10/27/2016,10,27,16,15,26,34
10/31/2016,10,31,16,3,4,12
11/03/2016,11,3,16,6,15,24
11/07/2016,11,7,16,3,9,33
11/10/2016,11,10,16,8,10,12
11/14/2016,11,14,16,21,27,37
11/17/2016,11,17,16,9,12,19
11/21/2016,11,21,16,3,7,12
11/24/2016,11,24,16,5,10,15
11/28/2016,11,28,16,2,5,6
12/01/2016,12,1,16,21,23,39
12/05/2016,12,5,16,9,10,17
12/08/2016,12,8,16,5,7,8
12/12/2016,12,12,16,6,18,25
12/15/2016,12,15,16,4,9,27
12/19/2016,12,19,16,1,8,35
12/22/2016,12,22,16,10,15,21
12/26/2016,12,26,16,1,4,27
12/29/2016,12,29,16,6,10,15
01/02/2017,1,2,17,13,17,28
01/05/2017,1,5,17,10,11,26
01/09/2017,1,9,17,2,29,34
01/12/2017,1,12,17,6,7,10
01/16/2017,1,16,17,5,6,24
01/19/2017,1,19,17,4,7,15
01/23/2017,1,23,17,3,20,29
01/26/2017,1,26,17,3,11,13
01/30/2017,1,30,17,6,8,28
02/02/2017,2,2,17,31,32,36
02/06/2017,2,6,17,3,5,6
02/09/2017,2,9,17,5,9,17
02/13/2017,2,13,17,4,9,38
02/16/2017,2,16,17,6,18,40
02/20/2017,2,20,17,2,14,18
02/23/2017,2,23,17,12,14,17
02/27/2017,2,27,17,5,8,27
03/02/2017,3,2,17,23,24,25
03/06/2017,3,6,17,4,11,19
03/09/2017,3,9,17,1,6,12
03/13/2017,3,13,17,2,9,24
03/16/2017,3,16,17,1,9,25
03/20/2017,3,20,17,6,8,18
03/23/2017,3,23,17,1,5,6
03/27/2017,3,27,17,1,17,19
03/30/2017,3,30,17,1,10,21
04/03/2017,4,3,17,10,17,32
04/06/2017,4,6,17,6,18,37
04/10/2017,4,10,17,13,34,36
04/13/2017,4,13,17,2,3,21
04/17/2017,4,17,17,11,17,25
04/20/2017,4,20,17,4,24,29
04/24/2017,4,24,17,2,12,32
04/27/2017,4,27,17,3,19,39
05/01/2017,5,1,17,3,13,23
05/04/2017,5,4,17,5,22,29
05/08/2017,5,8,17,4,7,23
05/11/2017,5,11,17,5,14,17
05/15/2017,5,15,17,15,17,30
05/18/2017,5,18,17,5,10,34
05/22/2017,5,22,17,12,16,31
05/25/2017,5,25,17,3,6,14
05/29/2017,5,29,17,20,25,29
06/01/2017,6,1,17,7,28,34
06/05/2017,6,5,17,13,15,17
06/08/2017,6,8,17,12,13,26
06/12/2017,6,12,17,7,13,29
06/15/2017,6,15,17,9,19,36
06/19/2017,6,19,17,8,23,24
06/22/2017,6,22,17,1,7,12
06/26/2017,6,26,17,7,18,21
06/29/2017,6,29,17,4,12,27
07/03/2017,7,3,17,15,19,43
07/06/2017,7,6,17,3,4,10
07/10/2017,7,10,17,9,23,32
07/13/2017,7,13,17,6,15,18
07/17/2017,7,17,17,2,6,8
07/20/2017,7,20,17,2,10,13
07/24/2017,7,24,17,16,26,27
07/27/2017,7,27,17,16,17,31
07/31/2017,7,31,17,7,14,22
08/03/2017,8,3,17,11,26,30
08/07/2017,8,7,17,7,12,22
08/10/2017,8,10,17,19,29,30
08/14/2017,8,14,17,4,8,15
08/17/2017,8,17,17,12,17,31
08/21/2017,8,21,17,5,29,38
08/24/2017,8,24,17,1,3,27
08/28/2017,8,28,17,1,5,6
08/31/2017,8,31,17,19,20,36
09/04/2017,9,4,17,1,4,9
09/07/2017,9,7,17,19,27,28
09/11/2017,9,11,17,11,23,27
09/14/2017,9,14,17,4,9,14
09/18/2017,9,18,17,4,14,19
09/21/2017,9,21,17,7,13,19
09/25/2017,9,25,17,14,17,19
09/28/2017,9,28,17,9,10,12
10/02/2017,10,2,17,24,25,28
10/05/2017,10,5,17,12,13,21
10/09/2017,10,9,17,19,21,23
10/12/2017,10,12,17,5,19,27
10/16/2017,10,16,17,1,2,12
10/19/2017,10,19,17,9,24,27
10/23/2017,10,23,17,4,7,9
10/26/2017,10,26,17,2,6,12
10/30/2017,10,30,17,2,12,22
11/02/2017,11,2,17,2,4,8
11/06/2017,11,6,17,22,24,28
11/09/2017,11,9,17,10,36,40
11/13/2017,11,13,17,20,21,37
11/16/2017,11,16,17,14,20,21
11/20/2017,11,20,17,7,16,20
11/23/2017,11,23,17,10,15,19
11/27/2017,11,27,17,12,13,20
11/30/2017,11,30,17,2,3,27
12/04/2017,12,4,17,1,2,7
12/07/2017,12,7,17,7,18,21
12/11/2017,12,11,17,16,37,46
12/14/2017,12,14,17,17,21,25
12/18/2017,12,18,17,13,16,21
12/21/2017,12,21,17,10,14,15
12/25/2017,12,25,17,8,37,43
12/28/2017,12,28,17,4,21,29
01/01/2018,1,1,18,15,18,25
01/04/2018,1,4,18,11,12,19
01/08/2018,1,8,18,1,3,15
01/11/2018,1,11,18,8,12,15
01/15/2018,1,15,18,11,15,32
01/18/2018,1,18,18,5,15,21
01/22/2018,1,22,18,5,13,26
01/25/2018,1,25,18,8,9,31
01/29/2018,1,29,18,1,4,6
02/01/2018,2,1,18,3,13,21
02/05/2018,2,5,18,1,2,5
02/08/2018,2,8,18,4,10,13
02/12/2018,2,12,18,7,11,33
02/15/2018,2,15,18,1,11,36
02/19/2018,2,19,18,2,14,41
02/22/2018,2,22,18,6,23,32
02/26/2018,2,26,18,6,11,16
03/01/2018,3,1,18,7,10,26
03/05/2018,3,5,18,5,17,23
03/08/2018,3,8,18,20,24,26
03/12/2018,3,12,18,1,8,20
03/15/2018,3,15,18,10,16,17
03/19/2018,3,19,18,17,26,31
03/22/2018,3,22,18,9,17,27
03/26/2018,3,26,18,3,4,15
03/29/2018,3,29,18,16,19,31
04/02/2018,4,2,18,2,6,11
04/05/2018,4,5,18,2,10,12
04/09/2018,4,9,18,9,13,20
04/12/2018,4,12,18,5,20,33
04/16/2018,4,16,18,9,11,26
04/19/2018,4,19,18,16,19,35
04/23/2018,4,23,18,7,12,20
04/26/2018,4,26,18,20,21,27
04/30/2018,4,30,18,1,10,13
05/03/2018,5,3,18,5,22,26
05/07/2018,5,7,18,2,5,6
05/10/2018,5,10,18,17,35,46
05/14/2018,5,14,18,11,26,33
05/17/2018,5,17,18,6,7,14
05/21/2018,5,21,18,4,12,31
05/24/2018,5,24,18,18,32,38
05/28/2018,5,28,18,4,6,13
05/31/2018,5,31,18,16,34,41
06/04/2018,6,4,18,1,5,20
06/07/2018,6,7,18,2,9,27
06/11/2018,6,11,18,4,5,25
06/14/2018,6,14,18,7,13,33
06/18/2018,6,18,18,1,22,27
06/21/2018,6,21,18,3,6,25
06/25/2018,6,25,18,3,31,42
06/28/2018,6,28,18,3,23,27
07/02/2018,7,2,18,13,18,27
07/05/2018,7,5,18,12,16,31
07/09/2018,7,9,18,18,24,43
07/12/2018,7,12,18,4,8,14
07/16/2018,7,16,18,14,17,18
07/19/2018,7,19,18,14,27,29
07/23/2018,7,23,18,1,5,11
07/26/2018,7,26,18,9,10,14
07/30/2018,7,30,18,8,15,34
08/02/2018,8,2,18,9,16,17
08/06/2018,8,6,18,5,7,13
08/09/2018,8,9,18,13,25,30
08/13/2018,8,13,18,1,15,22
08/16/2018,8,16,18,8,39,42
08/20/2018,8,20,18,4,16,36
08/23/2018,8,23,18,6,10,28
08/27/2018,8,27,18,6,8,12
08/30/2018,8,30,18,16,20,32
09/03/2018,9,3,18,27,40,43
09/06/2018,9,6,18,14,27,29
09/10/2018,9,10,18,1,11,13
09/13/2018,9,13,18,6,12,23
09/17/2018,9,17,18,3,5,6
09/20/2018,9,20,18,8,10,17
09/24/2018,9,24,18,9,16,21
09/27/2018,9,27,18,5,9,29
10/01/2018,10,1,18,8,10,13
10/04/2018,10,4,18,1,10,15
10/08/2018,10,8,18,5,34,35
10/11/2018,10,11,18,10,18,33
10/15/2018,10,15,18,1,30,39
10/18/2018,10,18,18,4,21,24
10/22/2018,10,22,18,7,36,37
10/25/2018,10,25,18,12,20,22
10/29/2018,10,29,18,14,16,26
11/01/2018,11,1,18,4,13,31
11/05/2018,11,5,18,8,18,28
11/08/2018,11,8,18,10,16,38
11/12/2018,11,12,18,2,4,9
11/15/2018,11,15,18,14,28,29
11/19/2018,11,19,18,1,14,15
11/22/2018,11,22,18,8,18,38
11/26/2018,11,26,18,10,23,29
11/29/2018,11,29,18,1,4,11
12/03/2018,12,3,18,7,8,28
12/06/2018,12,6,18,5,14,26
12/10/2018,12,10,18,16,20,26
12/13/2018,12,13,18,15,31,38
12/17/2018,12,17,18,4,8,31
12/20/2018,12,20,18,8,21,26
12/24/2018,12,24,18,2,9,14
12/27/2018,12,27,18,9,16,32
12/31/2018,12,31,18,4,10,15
01/03/2019,1,3,19,2,4,17
01/07/2019,1,7,19,18,31,34
01/10/2019,1,10,19,9,13,21
01/14/2019,1,14,19,11,13,18
01/17/2019,1,17,19,9,22,27
01/21/2019,1,21,19,2,16,40
01/24/2019,1,24,19,21,29,30
01/28/2019,1,28,19,6,12,30
01/31/2019,1,31,19,4,6,10
02/04/2019,2,4,19,14,24,30
02/07/2019,2,7,19,18,23,29
02/11/2019,2,11,19,3,5,10
02/14/2019,2,14,19,24,26,32
02/18/2019,2,18,19,1,8,15
02/21/2019,2,21,19,15,21,23
02/25/2019,2,25,19,24,26,31
02/28/2019,2,28,19,4,7,10
03/04/2019,3,4,19,4,12,28
03/07/2019,3,7,19,5,8,29
03/11/2019,3,11,19,19,24,30
03/14/2019,3,14,19,11,12,23
03/18/2019,3,18,19,3,11,24
03/21/2019,3,21,19,9,24,26
03/25/2019,3,25,19,7,9,14
03/28/2019,3,28,19,21,31,34
04/01/2019,4,1,19,9,19,22
04/04/2019,4,4,19,3,4,8
04/08/2019,4,8,19,17,23,34
04/11/2019,4,11,19,13,17,30
04/15/2019,4,15,19,4,10,20
04/18/2019,4,18,19,2,10,27
04/22/2019,4,22,19,1,11,20
04/25/2019,4,25,19,8,18,21
04/29/2019,4,29,19,7,22,28
05/02/2019,5,2,19,5,7,9
05/06/2019,5,6,19,13,14,26
05/09/2019,5,9,19,5,7,39
05/13/2019,5,13,19,6,11,13
05/16/2019,5,16,19,9,18,26
05/20/2019,5,20,19,26,27,29
05/23/2019,5,23,19,12,23,29
05/27/2019,5,27,19,15,37,43
05/30/2019,5,30,19,7,17,18
06/03/2019,6,3,19,3,19,24
06/06/2019,6,6,19,4,22,28
06/10/2019,6,10,19,26,34,39
06/13/2019,6,13,19,4,5,8
06/17/2019,6,17,19,3,25,29
06/20/2019,6,20,19,13,30,33
06/24/2019,6,24,19,3,17,21
