date,n1,n2,n3
04/28/2013,28,2013,3
04/29/2013,29,2013,3
04/30/2013,30,2013,3
05/01/2013,1,2013,3
05/02/2013,2,2013,3
05/03/2013,3,2013,3
05/04/2013,4,2013,3
05/05/2013,5,2013,3
05/06/2013,6,2013,3
05/07/2013,7,2013,3
05/08/2013,8,2013,3
05/09/2013,9,2013,3
05/10/2013,10,2013,3
05/11/2013,11,2013,3
05/12/2013,12,2013,3
05/13/2013,13,2013,3
05/14/2013,14,2013,3
05/15/2013,15,2013,3
05/16/2013,16,2013,3
05/17/2013,17,2013,3
05/18/2013,18,2013,3
05/19/2013,19,2013,3
05/20/2013,20,2013,3
05/21/2013,21,2013,3
05/22/2013,22,2013,3
05/23/2013,23,2013,3
05/24/2013,24,2013,3
05/25/2013,25,2013,3
05/26/2013,26,2013,3
05/27/2013,27,2013,3
05/28/2013,28,2013,3
05/29/2013,29,2013,3
05/30/2013,30,2013,3
05/31/2013,31,2013,3
06/01/2013,1,2013,3
06/02/2013,2,2013,3
06/03/2013,3,2013,3
06/04/2013,4,2013,3
06/05/2013,5,2013,3
06/06/2013,6,2013,3
06/07/2013,7,2013,3
06/08/2013,8,2013,3
06/09/2013,9,2013,3
06/10/2013,10,2013,3
06/11/2013,11,2013,3
06/12/2013,12,2013,3
06/13/2013,13,2013,3
06/14/2013,14,2013,3
06/15/2013,15,2013,3
06/16/2013,16,2013,3
06/17/2013,17,2013,3
06/18/2013,18,2013,3
06/19/2013,19,2013,3
06/20/2013,20,2013,3
06/21/2013,21,2013,3
06/22/2013,22,2013,3
06/23/2013,23,2013,3
06/24/2013,24,2013,3
06/25/2013,25,2013,3
06/26/2013,26,2013,3
06/27/2013,27,2013,3
06/28/2013,28,2013,3
06/29/2013,29,2013,3
06/30/2013,30,2013,3
07/01/2013,1,2013,3
07/02/2013,2,2013,3
07/03/2013,3,2013,3
07/04/2013,4,2013,3
07/05/2013,5,2013,3
07/06/2013,6,2013,3
07/07/2013,7,2013,3
07/08/2013,8,2013,3
07/09/2013,9,2013,3
07/10/2013,10,2013,3
07/11/2013,11,2013,3
07/12/2013,12,2013,3
07/13/2013,13,2013,3
07/14/2013,14,2013,3
07/15/2013,15,2013,3
07/16/2013,16,2013,3
07/17/2013,17,2013,3
07/18/2013,18,2013,3
07/19/2013,19,2013,3
07/20/2013,20,2013,3
07/21/2013,21,2013,3
07/22/2013,22,2013,3
07/23/2013,23,2013,3
07/24/2013,24,2013,3
07/25/2013,25,2013,3
07/26/2013,26,2013,3
07/27/2013,27,2013,3
07/28/2013,28,2013,3
07/29/2013,29,2013,3
07/30/2013,30,2013,3
07/31/2013,31,2013,3
03/01/2014,1,2014,3
03/02/2014,2,2014,3
03/03/2014,3,2014,3
03/04/2014,4,2014,3
03/05/2014,5,2014,3
03/06/2014,6,2014,3
03/07/2014,7,2014,3
03/08/2014,8,2014,3
03/09/2014,9,2014,3
03/10/2014,10,2014,3
03/11/2014,11,2014,3
03/12/2014,12,2014,3
03/13/2014,13,2014,3
03/14/2014,14,2014,3
03/15/2014,15,2014,3
03/16/2014,16,2014,3
03/17/2014,17,2014,3
03/18/2014,18,2014,3
03/19/2014,19,2014,3
03/20/2014,20,2014,3
03/21/2014,21,2014,3
03/22/2014,22,2014,3
03/23/2014,23,2014,3
03/24/2014,24,2014,3
03/25/2014,25,2014,3
03/26/2014,26,2014,3
03/27/2014,27,2014,3
03/28/2014,28,2014,3
03/29/2014,29,2014,3
03/30/2014,30,2014,3
03/31/2014,31,2014,3
04/01/2014,1,2014,3
04/02/2014,2,2014,3
04/03/2014,3,2014,3
04/04/2014,4,2014,3
04/05/2014,5,2014,3
04/06/2014,6,2014,3
04/07/2014,7,2014,3
04/08/2014,8,2014,3
04/09/2014,9,2014,3
04/10/2014,10,2014,3
04/11/2014,11,2014,3
04/12/2014,12,2014,3
04/13/2014,13,2014,3
04/14/2014,14,2014,3
04/15/2014,15,2014,3
04/16/2014,16,2014,3
04/17/2014,17,2014,3
04/18/2014,18,2014,3
04/19/2014,19,2014,3
04/20/2014,20,2014,3
04/21/2014,21,2014,3
04/22/2014,22,2014,3
04/23/2014,23,2014,3
04/24/2014,24,2014,3
04/25/2014,25,2014,3
04/26/2014,26,2014,3
04/27/2014,27,2014,3
04/28/2014,28,2014,3
04/29/2014,29,2014,3
04/30/2014,30,2014,3
05/01/2014,1,2014,3
05/02/2014,2,2014,3
05/03/2014,3,2014,3
05/04/2014,4,2014,3
05/05/2014,5,2014,3
05/06/2014,6,2014,3
05/07/2014,7,2014,3
05/08/2014,8,2014,3
05/09/2014,9,2014,3
05/10/2014,10,2014,3
05/11/2014,11,2014,3
05/12/2014,12,2014,3
05/13/2014,13,2014,3
05/14/2014,14,2014,3
05/15/2014,15,2014,3
05/16/2014,16,2014,3
05/17/2014,17,2014,3
05/18/2014,18,2014,3
05/19/2014,19,2014,3
05/20/2014,20,2014,3
05/21/2014,21,2014,3
05/22/2014,22,2014,3
05/23/2014,23,2014,3
05/24/2014,24,2014,3
05/25/2014,25,2014,3
05/26/2014,26,2014,3
05/27/2014,27,2014,3
05/28/2014,28,2014,3
05/29/2014,29,2014,3
05/30/2014,30,2014,3
05/31/2014,31,2014,3
06/01/2014,1,2014,3
06/02/2014,2,2014,3
06/03/2014,3,2014,3
06/04/2014,4,2014,3
06/05/2014,5,2014,3
06/06/2014,6,2014,3
06/07/2014,7,2014,3
06/08/2014,8,2014,3
06/09/2014,9,2014,3
06/10/2014,10,2014,3
06/11/2014,11,2014,3
06/12/2014,12,2014,3
06/13/2014,13,2014,3
06/14/2014,14,2014,3
06/15/2014,15,2014,3
06/16/2014,16,2014,3
06/17/2014,17,2014,3
06/18/2014,18,2014,3
06/19/2014,19,2014,3
06/20/2014,20,2014,3
06/21/2014,21,2014,3
06/22/2014,22,2014,3
06/23/2014,23,2014,3
