Ticker,Date,Open,High,Low,Close,Volume,ChangePct,RSI2,RSI4,ConnorsRSI,RelSPY,RVOL,ATR,PctFrom200d,SqueezeHint,P_up,CrowdRisk,HeuristicScore,AgentsScore,AgentsConf
AAPL,2025-09-16 00:00:00-04:00,237.17999267578125,241.22000122070312,236.32350158691406,238.14999389648438,61246555.0,1.7430625217242257,50.0,60.042243911408754,62.666666666666664,0.00043621072331760934,1.268689133383812,4.84857177734375,7.708142032669385,1,0.55,0.0,0.5653023811665583,,
MSFT,2025-09-16 00:00:00-04:00,516.8800048828125,517.22998046875,508.6000061035156,509.0400085449219,19508071.0,-1.226322762006704,46.34979767153879,70.34262514589315,29.30810939698485,0.004280086694464891,0.9409870180368606,7.804999215262277,14.198425095101964,1,0.55,0.0,0.5382628926697849,,
NVDA,2025-09-16 00:00:00-04:00,176.9949951171875,177.5,174.3800048828125,174.8800048828125,136363238.0,-1.6146245385021074,0.0,17.379827503202705,10.035348705415648,0.004951608626186088,0.7422553450177434,4.954775169601971,24.626346242240736,1,0.55,0.0,0.6349936551591405,,
AMZN,2025-09-16 00:00:00-04:00,232.93499755859375,235.89999389648438,232.22999572753906,234.0500030517578,36757386.0,1.1320962964584513,50.0,73.01976084542576,66.54112468326504,-0.0033963986461115203,1.0535506547106381,4.939286368233817,9.213913129926832,1,0.55,0.0,0.534929599443978,,
META,2025-09-16 00:00:00-04:00,767.1199951171875,781.260009765625,765.0999755859375,779.0,11649109.0,3.0982374452394934,50.0,65.50116450624793,79.09965891628529,0.007137171144423538,1.1531624292782043,14.136426653180804,18.702782117451623,1,0.55,0.0,0.552275034707401,,
GOOGL,2025-09-16 00:00:00-04:00,252.125,253.0399932861328,249.47000122070312,251.16000366210938,34072967.0,4.302325780338445,50.0,96.3051705796128,66.33333333333333,0.014358948150170914,0.9283546363155882,6.45664245526612,38.68977537892984,0,0.55,0.0,0.48899786117081695,,
TSLA,2025-09-16 00:00:00-04:00,414.4949951171875,423.25,411.42999267578125,421.6199951171875,102406877.0,2.8241113869250656,50.0,50.0,58.333333333333336,0.0400431172915678,1.1796325283313371,14.818564278738839,27.18446386699622,1,0.55,0.0,0.5847939440853739,,
AMD,2025-09-16 00:00:00-04:00,161.3699951171875,161.94000244140625,159.22000122070312,160.4600067138672,27069157.0,-0.4343490520823057,78.72345359509862,54.57263246027557,49.23049718817686,0.006047115156783333,0.6169698732126286,5.406430925641741,26.993378359544185,1,0.55,0.0,0.563375545998405,,
NFLX,2025-09-16 00:00:00-04:00,1205.6400146484375,1208.9998779296875,1197.280029296875,1200.510009765625,2364486.0,1.0156229136066175,44.48953880764904,13.892783980261967,55.63968483745082,-0.007047515506004176,0.8774207558569064,27.224984305245535,11.87357433776588,1,0.55,0.0,0.6373369896519581,,
AVGO,2025-09-16 00:00:00-04:00,365.42498779296875,365.69000244140625,356.989990234375,360.0,20223958.0,-1.1233476280669175,50.782219741316624,24.121113091701318,31.387905741596057,0.01439719271076909,0.7449027088337922,15.770714896065849,52.708646144444685,1,0.55,0.0,0.6270877437745963,,
JPM,2025-09-16 00:00:00-04:00,310.0,310.885009765625,307.13470458984375,309.19000244140625,5962838.0,0.0938842831505804,50.0,50.0,48.333333333333336,0.007515112821296554,0.8392616329389878,5.112162998744419,17.83119066609693,1,0.55,0.0,0.5770106860434188,,
BAC,2025-09-16 00:00:00-04:00,50.63999938964844,50.875,50.209999084472656,50.65999984741211,24508503.0,0.13836666260740316,50.0,80.4598709134278,42.33323160652069,0.0014835801048538543,0.6838511261261271,0.8001500229060596,14.135608892842356,1,0.55,0.0,0.5137215299256682,,
XOM,2025-09-16 00:00:00-04:00,112.95500183105469,115.31500244140625,112.7750015258789,114.68000030517578,13901567.0,2.2467872332262884,50.0,92.42103978207237,78.52873079388631,0.008689662196326674,0.9641436988241967,2.0689293997628346,6.3686518283131655,1,0.55,0.0,0.5195435638423738,,
CVX,2025-09-16 00:00:00-04:00,158.25,160.0955047607422,158.1199951171875,159.5399932861328,7942587.0,1.5466823667118934,68.06717301453648,83.64416519806912,62.42786465235445,0.00713677961652468,0.9867101689795176,2.866105215890067,8.09455767581797,1,0.55,0.0,0.5199483067680861,,
PFE,2025-09-16 00:00:00-04:00,23.959999084472656,24.219999313354492,23.8700008392334,23.899999618530273,56954854.0,0.12567565245984458,2.941060973534576,22.068961888513414,41.47582252623334,-0.005182317044324769,1.4128341939108602,0.43499973842075895,-1.278581738346407,1,0.55,0.0,0.6439632905898607,,
MRK,2025-09-16 00:00:00-04:00,81.01000213623047,81.47309875488281,80.53500366210938,81.08999633789062,8095937.0,,50.0,50.0,40.0,-0.00642098805091158,0.7283691187857597,0.0,0.0,1,0.55,0.0,0.5743747527341879,,
UNH,2025-09-16 00:00:00-04:00,347.5,349.0357971191406,338.32000732421875,339.7799987792969,12640246.0,-2.331201105997893,0.0,33.05902928568686,4.333333333333333,-0.004621984527312639,0.822078635715254,10.063988821847099,-17.791338908972488,1,0.55,0.0,0.610184854607112,,
HD,2025-09-16 00:00:00-04:00,423.75,424.3594970703125,420.0899963378906,421.45001220703125,3724650.0,-0.2980717923675491,1.5616804158123188,83.68858015503953,29.3314961865286,0.0029843491104884156,0.9227419034176245,5.996954163433908,11.122766511700632,1,0.55,0.0,0.5185443685416672,,
KO,2025-09-16 00:00:00-04:00,66.3499984741211,66.51000213623047,66.05500030517578,66.23999786376953,13009551.0,0.04530853301871751,3.614302785182474,1.8291945403287997,47.80552612121298,-0.004808976960432055,0.7631865612252161,0.8510704040527344,-2.422307483545738,1,0.55,0.0,0.6351194619156915,,
PEP,2025-09-16 00:00:00-04:00,140.7449951171875,141.30999755859375,139.91000366210938,140.02999877929688,9279040.0,-2.4385146169908944,0.0,25.28171055929313,10.403206555562022,-0.0022998766650382807,1.0844646981907669,3.1036710740218934,-0.7877544445402784,1,0.55,0.0,0.631056876545278,,
NKE,2025-09-16 00:00:00-04:00,72.80000305175781,73.375,72.08999633789062,72.75,6925499.0,-0.3424657534246589,0.0,31.60180594959327,16.273125593651375,-0.003765258114667813,0.6765620652196058,1.6331749709774346,4.55952011035583,1,0.55,0.0,0.6102146716617656,,
DIS,2025-09-16 00:00:00-04:00,115.44999694824219,115.8499984741211,114.70999908447266,115.2300033569336,5326678.0,-0.6295237437931367,0.0,27.330520803025905,23.36094656345114,-0.006110347940979843,0.8494389783764924,1.9964288984026228,4.971323756115198,1,0.55,0.0,0.6221444275232487,,
V,2025-09-16 00:00:00-04:00,336.239990234375,340.5400085449219,333.4700012207031,340.0299987792969,4484348.0,0.17676873477965316,12.87565733894786,37.54719190189842,53.17381836917045,-0.001259494561872332,0.884589306642324,5.274998256138393,0.022445145193561444,1,0.55,0.0,0.6025596174921936,,
MA,2025-09-16 00:00:00-04:00,578.010009765625,588.1099853515625,577.1799926757812,586.4199829101562,1975600.0,0.5935159885907648,50.0,64.86482306758461,53.64666805802238,0.0008847020334572742,0.8516416604339683,8.770002092633929,6.212098885732975,1,0.55,0.0,0.547329728134514,,
CSCO,2025-09-16 00:00:00-04:00,67.0,67.37999725341797,66.55000305175781,66.93000030517578,17946639.0,0.601234831231312,25.641038181080134,42.65240325848872,53.33335876464844,0.0002053368517715537,1.0840502928149895,1.0971423557826452,7.106045510082626,1,0.55,0.0,0.5963823594448756,,
ORCL,2025-09-16 00:00:00-04:00,314.05999755859375,319.9700012207031,302.27239990234375,306.6499938964844,51012885.0,4.952427128287251,47.993380265295485,73.69761549202438,66.52851482713135,0.061687978436355095,2.000774084385082,18.027145385742188,65.35367251257911,0,0.55,0.0,0.5244708900567435,,
CRM,2025-09-16 00:00:00-04:00,242.52000427246094,242.67999267578125,237.24000549316406,239.30999755859375,8729385.0,-1.421155473022162,0.0,18.393627161726656,17.91259050982678,-0.010338384854778693,0.8566972968977105,7.518571036202567,-16.331500512159348,1,0.55,0.0,0.636823794392311,,
INTC,2025-09-16 00:00:00-04:00,24.809999465942383,25.34000015258789,24.690000534057617,25.270000457763672,60028837.0,4.941862698621091,69.18602845939569,68.77827038941828,76.7659549284305,0.006658344662692528,0.6116418068131438,0.6671424593244281,16.43015350959893,1,0.55,0.0,0.5348760456973072,,
